Nazwa aplikacji;Nazwa firmy;Koszty;Kraj;Wersje aplikacji;Data;ImiÍ;P≥ÍÊ;Przedrostek;Stanowisko
Overhold;Livepath;$6176.14;United States;0.7.2;9/20/2019;Donal;Male;II;Human Resources Manager
Zontrax;Zoovu;$8019.34;Portugal;01.01.2009;5/20/2015;Donna;Female;Sr;Automation Specialist III
Voltsillam;Einti;$9322.08;Canada;0.81;7/30/2019;Prentice;Male;III;Chief Design Engineer
Sonsing;Teklist;$7244.75;China;05.sie;12.09.2021;Gideon;Male;II;Editor
Trippledex;Einti;$9835.41;Bosnia and Herzegovina;0.5.5;11/14/2018;Ruby;Male;Jr;Social Worker
Subin;Babblestorm;$9411.12;Russia;05.07.2007;3/30/2022;Arney;Male;Jr;Paralegal
Lotlux;Riffpath;$8480.98;Ukraine;08.06.2009;05.11.2018;Madel;Female;Sr;Analog Circuit Design manager
Sonair;Mynte;$7726.99;China;0.2.8;11/26/2021;Wanids;Female;Sr;Operator
Tresom;Rhynyx;$9445.92;Peru;wrz.83;3/13/2021;Marietta;Female;III;Data Coordiator
Veribet;Jatri;$8337.18;Indonesia;lut.39;2/26/2020;Lawry;Male;Jr;Software Test Engineer I
Overhold;Gigazoom;$7056.24;Comoros;0.68;1/17/2021;Sukey;Female;IV;Assistant Media Planner
Andalax;Skimia;$9392.35;Jamaica;0.29;12/16/2017;Angelina;Female;Sr;GIS Technical Architect
Fintone;Skalith;$9771.16;French Polynesia;0.23;7/29/2015;Jewelle;Female;Jr;Help Desk Technician
Alphazap;Mynte;$9860.36;Indonesia;0.8.5;05.04.2018;Westbrook;Male;Jr;Senior Editor
Sonair;Edgewire;$7003.25;Ethiopia;9.0;6/18/2015;Merissa;Female;III;Payment Adjustment Coordinator
Span;Buzzster;$6695.74;Ethiopia;09.sty;10/28/2021;Codie;Male;IV;Recruiter
Voyatouch;Yakijo;$6521.90;Philippines;0.6.1;8/20/2018;Cathlene;Female;II;Nuclear Power Engineer
Hatity;Camido;$8387.01;France;lut.64;12/23/2020;Tilda;Female;IV;Food Chemist
Job;Zoozzy;$6354.92;Indonesia;0.8.2;05.02.2018;Raddy;Male;Sr;Senior Quality Engineer
Ventosanzap;Zoonoodle;$7734.08;Indonesia;maj.89;4/28/2020;Leland;Male;II;Pharmacist
Tempsoft;Chatterbridge;$9219.72;Russia;06.wrz;06.12.2021;Filide;Female;Jr;Research Associate
Cardguard;Photolist;$8206.93;Canada;0.12;05.09.2017;Jaime;Male;Sr;Software Engineer I
Daltfresh;Babbleblab;$6505.59;Indonesia;04.mar;02.09.2018;Emlyn;Male;III;Senior Sales Associate
Prodder;Blogspan;$6756.47;Russia;sie.51;6/27/2016;Avrit;Female;III;Software Test Engineer IV
Prodder;Blogtag;$8736.65;Curacao;lip.63;5/25/2018;Saba;Female;II;Nuclear Power Engineer
It;Yozio;$6172.47;France;0.90;3/17/2017;Stephani;Female;Jr;Accountant III
Rank;Meembee;$9230.56;Honduras;0.6.6;6/13/2019;Dalis;Male;IV;Geological Engineer
Ronstring;Janyx;$8081.92;Costa Rica;09.09.2007;04.11.2022;Percival;Male;IV;Community Outreach Specialist
Lotlux;Meezzy;$6285.58;Argentina;01.sie;1/23/2022;Wilie;Female;Sr;Biostatistician I
Bigtax;Shuffledrive;$8713.90;Indonesia;0.4.1;01.02.2020;Ellyn;Female;IV;Information Systems Manager
Ronstring;Twinder;$9704.25;China;07.sty;01.01.2020;Natty;Male;Jr;Editor
Zaam-Dox;Flashspan;$7029.45;Luxembourg;8.0;3/17/2020;Thain;Male;Jr;Quality Control Specialist
Kanlam;Tagopia;$9656.91;China;0.2.1;09.07.2017;Tammie;Male;Sr;Operator
Y-Solowarm;Gabspot;$6727.39;Sweden;0.79;10.10.2015;Alisha;Female;II;Executive Secretary
Tempsoft;Twitterlist;$8185.76;Indonesia;08.kwi;7/19/2016;Quinlan;Male;Jr;Editor
Voltsillam;Oba;$9520.45;United Kingdom;0.69;09.10.2018;Armstrong;Male;Jr;Senior Cost Accountant
Zamit;Tagfeed;$7576.31;Indonesia;02.02.2003;5/28/2020;Milo;Male;Sr;Civil Engineer
Zathin;Eabox;$7488.39;Canada;04.wrz;8/13/2018;Thomasa;Female;III;Senior Quality Engineer
Prodder;Quimm;$6057.18;France;05.03.2009;3/22/2018;Cyndie;Female;Sr;Technical Writer
Veribet;Jayo;$9314.88;China;0.37;07.03.2017;Wilmer;Male;II;Assistant Media Planner
Aerified;Quamba;$6816.04;Canada;03.cze;12.10.2018;Kurtis;Male;II;Food Chemist
Bitchip;Yodel;$7452.22;Philippines;0.1.5;7/20/2015;Marlowe;Male;IV;Biostatistician III
Aerified;Quinu;$7042.19;Sierra Leone;wrz.41;02.11.2020;Arlyn;Female;Sr;Chief Design Engineer
Trippledex;Quinu;$6796.92;Armenia;0.66;6/27/2015;Patty;Male;Sr;Office Assistant I
Voyatouch;Skibox;$8569.37;China;0.70;07.03.2015;Brandon;Male;IV;Payment Adjustment Coordinator
Redhold;Snaptags;$8807.78;Cuba;06.mar;05.07.2022;Adrien;Male;IV;Senior Cost Accountant
Opela;Centidel;$8930.16;Indonesia;0.6.8;3/31/2021;Vin;Male;Jr;Cost Accountant
Bytecard;Tagcat;$6805.22;Kuwait;05.03.2002;08.02.2021;Marian;Female;Jr;Human Resources Assistant III
Zaam-Dox;Realfire;$9245.73;Mexico;06.maj;2/18/2018;Kiele;Female;IV;Senior Quality Engineer
Fixflex;Mita;$8374.75;Uganda;0.3.1;06.06.2016;Almeda;Female;II;Financial Advisor
Konklab;Mymm;$7396.35;Myanmar;0.5.5;5/14/2015;Tony;Male;II;Physical Therapy Assistant
Span;Pixoboo;$9509.70;China;0.8.1;4/27/2018;Phyllida;Female;II;Geological Engineer
Voltsillam;Quimm;$8797.65;China;0.42;1/22/2017;Tyson;Male;III;Help Desk Operator
It;Yakidoo;$7255.01;France;kwi.61;04.04.2022;Curcio;Male;II;Internal Auditor
Sub-Ex;Trunyx;$7908.19;United States;0.4.7;3/30/2022;Rich;Male;Jr;VP Quality Control
Trippledex;Skyba;$8839.92;Indonesia;08.lip;05.01.2017;Jedd;Male;III;Food Chemist
